#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
174,Tajikistan,17388,,124,,17263,,1,,1758,13,,,9891902,Asia,569,79773,,,,0.1
175,SouthSudan,16955,,137,,13250,,3568,1,1486,12,338083,29628,11410893,Africa,673,83291,34,,,313
176,EquatorialGuinea,15877,,182,,15653,,42,5,10734,123,273437,184860,1479157,Africa,93,8127,5,,,28
177,Djibouti,15547,,189,,15352,,6,,15366,187,284842,281528,1011772,Africa,65,5353,4,,,6
178,Gibraltar,15313,,101,,14599,,613,10,454743,2999,513118,15237810,33674,Europe,2,333,0,,,18204
179,SanMarino,14207,,112,,13703,,392,4,417252,3289,134668,3955123,34049,Europe,2,304,0,,,11513
180,CAR,14187,,113,,6859,,7215,2,2855,23,81294,16361,4968679,Africa,350,43971,61,,,1452
181,Grenada,13679,+18,216,+2,13258,+40,205,4,120641,1905,136411,1203067,113386,NorthAmerica,8,525,1,159,18,1808
182,Bhutan,12194,+374,6,,7910,+250,4278,,15521,8,1975337,2514213,785668,Asia,64,130945,0,476,,5445
183,Gambia,11924,,365,,11461,,98,4,4715,144,135608,53623,2528901,Africa,212,6928,19,,,39
184,Liechtenstein,11908,+156,78,,11187,,643,7,310841,2036,80413,2099063,38309,Europe,3,491,0,4072,,16785
185,Yemen,11769,+9,2134,+1,8689,+1,946,23,381,69,265253,8581,30912295,Asia,2627,14486,117,0.3,0.03,31
186,Greenland,11715,,16,,2761,,8938,9,205768,281,164926,2896844,56933,NorthAmerica,5,3558,0,,,156992
187,Bermuda,11490,,123,,11150,,217,,185631,1987,795082,12845243,61897,NorthAmerica,5,503,0,,,3506
188,Dominica,11016,,57,,10563,,396,,152403,789,165338,2287402,72282,NorthAmerica,7,1268,0,,,5479
189,SaintMartin,9877,,63,,1399,,8415,7,248434,1585,78366,1971125,39757,NorthAmerica,4,631,1,,,211661
190,Eritrea,9700,,103,,9593,,4,,2674,28,23693,6531,3627634,Africa,374,35220,153,,,1
191,SintMaarten,9548,,85,,9420,,43,10,218585,1946,62056,1420663,43681,NorthAmerica,5,514,1,,,984
192,Monaco,9377,+2,51,,9140,+20,186,4,236185,1285,54960,1384313,39702,Europe,4,778,1,50,,4685
193,Niger,8751,+5,307,+1,8432,+13,12,1,341,12,228471,8906,25654408,Africa,2932,83565,112,0.2,0.04,0.5
194,Comoros,8033,+1,160,,7855,+2,18,,8923,178,,,900236,Africa,112,5626,,1,,20
195,Guinea-Bissau,8001,+16,167,+1,6978,+1,856,6,3913,82,123632,60458,2044914,Africa,256,12245,17,8,0.5,419
196,SierraLeone,7665,,125,,,,,,930,15,259958,31528,8245280,Africa,1076,65962,32,,,331
197,CaribbeanNetherlands,7564,,31,,7444,,89,,284083,1164,30126,1131450,26626,NorthAmerica,4,859,1,,,3343
198,AntiguaandBarbuda,7437,,135,,7253,,49,1,74916,1360,18901,190398,99271,NorthAmerica,13,735,5,,,494
199,Liberia,7360,,290,,5747,,1323,2,1401,55,139824,26612,5254248,Africa,714,18118,38,,,252
200,Chad,7246,,190,,4874,,2182,,421,11,191341,11121,17204990,Africa,2374,90553,90,,,127
201,SolomonIslands,6937,+124,96,+3,1732,,5109,4,9706,134,5117,7159,714735,Australia/Oceania,103,7445,140,173,4,7148
202,St.VincentGrenadines,6739,,106,,6591,,42,,60427,950,98160,880177,111523,NorthAmerica,17,1052,1,,,377
203,BritishVirginIslands,6074,,62,,,,,6,198731,2029,99936,3269729,30564,NorthAmerica,5,493,0,,,3043
204,SaoTomeandPrincipe,5934,+1,72,,5852,+1,10,,26269,319,29036,128540,225891,Africa,38,3137,8,4,,44
205,TurksandCaicos,5867,+7,36,,5787,,44,4,148216,909,419792,10605093,39584,NorthAmerica,7,1100,0,177,,1112
206,SaintKittsandNevis,5530,,42,,5480,+7,8,1,102746,780,65141,1210304,53822,NorthAmerica,10,1281,1,,,149
207,St.Barth,3758,,6,,,,,,378564,604,56491,5690642,9927,NorthAmerica,3,1655,0,,,331419
208,Palau,3726,,6,,2942,,778,10,204310,329,36384,1995065,18237,Australia/Oceania,5,3040,1,,,42661
209,Kiribati,2914,+10,11,,2051,+89,852,4,23791,90,,,122481,Australia/Oceania,42,11135,,82,,6956
